Organization Name,Headquarters Location,Operating Status,Company Type,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Lead Investors,Number of Investors,Industry Groups,Industries,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Events,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Visit Duration,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Principales inversionistas
IMA Group,"Castenaso, Emilia-Romagna, Italy",Active,For Profit,2,1,1,,1,2,"Health Care, Manufacturing, Science and Engineering","Industrial Automation, Machinery Manufacturing, Manufacturing, Pharmaceutical",2,M&A,7/28/2020,586000000,EUR,686720627,Post-IPO Secondary,Post-IPO Equity,,,,686720628,USD,686720628,,58.931,"41,408.67",150,,,,"BC Partners, Mandarin Capital Partners"
Hack VC,"San Francisco, California, United States",Active,,101,4,14,6,,1,"Financial Services, Lending and Investments, Other, Payments, Software","Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Venture Capital",1,,4/19/2018,,,,Venture - Series Unknown,Venture - Series Unknown,,,,,,,,549,,0,,,,Bossa Nova Investimentos
Primary Venture Partners,"New York, New York, United States",Active,,157,34,37,28,,,"Commerce and Shopping, Financial Services, Lending and Investments, Software","E-Commerce, Enterprise Software, Finance, Venture Capital",,,,,,,,,,,,,,,1,12.121,"9,790.17",268,,,,
LG Group,"Seoul, Seoul-t'ukpyolsi, South Korea",Active,For Profit,4,2,,,,1,"Consumer Electronics, Hardware, Information Technology, Science and Engineering","Chemical, Electronics, Information Technology, Telecommunications",1,Early Stage Venture,7/23/2019,1000000,USD,1000000,Series B,Series B,1000000,USD,1000000,1000000,USD,1000000,2,,,,,,,P. Addo-Nyarko
gumi Cryptos Capital (gCC),"San Francisco, California, United States",Active,For Profit,44,11,4,1,,,"Financial Services, Lending and Investments, Other, Payments, Software","Bitcoin, Blockchain, Cryptocurrency, Financial Services, FinTech, Venture Capital",,,,,,,,,,,,,,,,1,"2,801.33",0,,,,
Hard Yaka,"Crystal Bay, Nevada, United States",Active,,93,5,23,22,,,"Financial Services, Information Technology, Payments, Privacy and Security","Identity Management, Payments",,,,,,,,,,,,,,,,5.044,"3,509.17",9,,,,
Right Side Capital Management,"San Francisco, California, United States",Active,,1.228,36,313,173,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,2.804,,8,,,,
Inventure,"Helsinki, Southern Finland, Finland",Active,,122,56,5,13,,,"Financial Services, Lending and Investments","Finance, Financial Services, FinTech, Venture Capital",,,,,,,,,,,,,,,2,777,1.231,29,,,,
Kenetic,"Central, Hong Kong Island, Hong Kong",Active,For Profit,89,10,11,1,1,1,"Community and Lifestyle, Financial Services, Lending and Investments, Other, Payments, Software","Blockchain, Communities, Cryptocurrency, Financial Services, Hedge Funds",1,Seed,12/1/2016,,,,Seed,Seed,,,,,,,2,549,,39,,,,BlackPine
Point72 Ventures,"New York, New York, United States",Active,,123,62,12,11,,,"Artificial Intelligence, Data and Analytics, Financial Services, Science and Engineering, Software","Artificial Intelligence, Enterprise Software, Financial Services, FinTech",,,,,,,,,,,,,,,,11.49,"8,762.33",436,,,,
MassMutual,"Springfield, Massachusetts, United States",Active,For Profit,21,10,10,2,,,"Community and Lifestyle, Financial Services, Other","Finance, Financial Services, Insurance, Life Insurance, Retirement",,M&A,,,,,,,,,,,,,2,"1,745,089","2,052,234.33",346,,,,
Optum Ventures,"Boston, Massachusetts, United States",Active,,70,25,17,4,,,"Financial Services, Health Care, Lending and Investments","Finance, Financial Services, Health Care, Impact Investing, Venture Capital",,,,,,,,,,,,,,,,511,"2,730.83",131,,,,
Northpond Ventures,"Bethesda, Maryland, United States",Active,,89,65,17,9,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,,,,,,,
Hashed,"Seoul, Seoul-t'ukpyolsi, South Korea",Active,,112,30,4,2,,,"Financial Services, Internet Services, Other, Payments, Software","Blockchain, Cryptocurrency, Internet",,,,,,,,,,,,,,,,16.3,14.368,46,,,,
Nyca Partners,"New York, New York, United States",Active,,128,25,20,12,,,"Financial Services, Lending and Investments","Finance, Financial Services, FinTech, Venture Capital",,,,,,,,,,,,,,,,4.469,"3,369.5",0,,,,
Major League Soccer,"New York, New York, United States",Active,For Profit,2,,,1,1,1,"Media and Entertainment, Sports","Media and Entertainment, Soccer, Sports",2,,3/10/2022,25000000,USD,25000000,Debt Financing,Venture - Series Unknown,,,,25000000,USD,25000000,,"3,225,104","3,742,943.17",575,780415,USD,780415,National Black Bank Foundation
MRL Ventures Fund,"Cambridge, Massachusetts, United States",Active,,34,5,4,10,,,"Biotechnology, Health Care, Science and Engineering","Biotechnology, Health Care",1,Early Stage Venture,5/23/2018,16000000,EUR,18735033,Series A,Series A,16000000,EUR,18735033,16000000,EUR,18735034,,,,,,,,
Hearst Ventures,"New York, New York, United States",Active,,156,25,17,42,,,"Financial Services, Information Technology, Lending and Investments, Media and Entertainment, Software","Information Services, Media and Entertainment, Software, Venture Capital",,,,,,,,,,,,,,,,176.655,65.57,233,,,,
Kinnevik,"Stockholm, Stockholms Lan, Sweden",Active,,126,62,6,25,,,"Financial Services, Internet Services, Lending and Investments","Financial Services, Internet, Venture Capital",,,,,,,,,,,,,,,2,17.502,"13,405.17",246,,,,
Plug and Play Tech Center,"Sunnyvale, California, United States",Active,,1.381,65,177,133,,,"Commerce and Shopping, Financial Services, Real Estate","FinTech, InsurTech, Retail, Smart Cities",,,,,,,,,,,,,,,45,187.538,"167,313.5",385,1265742,USD,1265742,
Lightrock,"London, England, United Kingdom",Active,,72,43,,3,,,"Education, Financial Services, Information Technology","Education, Financial Services, Information Technology",,,,,,,,,,,,,,,,2.789,,28,,,,
NET1 UEPS Technologies Inc.,"Johannesburg, NA - South Africa, South Africa",Active,For Profit,5,3,,1,1,2,Financial Services,Financial Services,3,IPO,4/28/2020,580000000,ZAR,31175789,Post-IPO Equity,Post-IPO Equity,580000000,ZAR,31175789,31175790,USD,31175790,,1.041,"4,965.5",40,,,,"General Atlantic, Value Capital Partners"
NextView Ventures,"New York, New York, United States",Active,,202,43,38,36,,,"Financial Services, Internet Services, Lending and Investments, Other, Professional Services","Business Development, Consumer, Finance, Internet, Venture Capital",,,,,,,,,,,,,,,,,,,,,,
Khaira Capital,"Vancouver, British Columbia, Canada",Active,For Profit,28,11,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Node Capital,"New York, New York, United States",Active,For Profit,,,,,1,1,"Artificial Intelligence, Data and Analytics, Financial Services, Information Technology, Other, Payments, Software","Big Data, Blockchain, Cryptocurrency, Data Mining, Predictive Analytics",2,Seed,2/1/2018,150000,USD,150000,Pre-Seed,Pre-Seed,150000,USD,150000,300000,USD,300000,1,,,,,,,Quake Capital Partners
K1 Investment Management,"Manhattan Beach, California, United States",Active,,47,35,4,7,,,"Financial Services, Lending and Investments, Software","Angel Investment, Enterprise Software, Software, Venture Capital",,,,,,,,,,,,,,,1,35.732,"15,826.17",578,33710,USD,33710,
Pantera Capital,"Menlo Park, California, United States",Active,For Profit,186,72,23,18,,,"Financial Services, Lending and Investments, Payments, Software","Bitcoin, Financial Services, Venture Capital",,,,,,,,,,,,,,,2,90.153,"76,334.33",275,,,,
Institutional Venture Partners,"Menlo Park, California, United States",Active,,365,136,61,128,,,"Financial Services, Lending and Investments","Finance, Financial Services, Impact Investing, Venture Capital",,,,,,,,,,,,,,,,10.231,"9,010.83",88,232882,USD,232882,
Kleiner Perkins,"Menlo Park, California, United States",Active,,1.337,380,155,313,,,"Financial Services, Lending and Investments","Finance, Financial Services, Incubators, Venture Capital",,,,,,,,,,,,,,,,17.792,20.063,483,,,,
Innovaccer,"San Francisco, California, United States",Active,For Profit,,,,,5,22,"Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software","Artificial Intelligence, Health Care",7,Late Stage Venture,12/15/2021,150000000,USD,150000000,Series E,Series E,150000000,USD,150000000,379100000,USD,379100000,3,180.94,85.3,292,1650319,USD,1650319,"500 Startups, B Capital Group, Tiger Global Management, Sequoia Capital India, Lightspeed Venture Partners"
Madrona Venture Group,"Seattle, Washington, United States",Active,,444,159,54,92,,,"Financial Services, Lending and Investments","Angel Investment, Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,4,316,"7,821.67",41,47544,USD,47544,
Rose Park Advisors,"Boston, Massachusetts, United States",Active,,58,13,1,5,,,"Financial Services, Lending and Investments","Finance, Financial Services, Hedge Funds, Venture Capital",,,,,,,,,,,,,,,,2.513,,0,,,,
Raptor Group,"Boston, Massachusetts, United States",Active,,54,11,10,2,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,5.349,3.244,2,3016643,USD,3016643,
Rethink Education,"White Plains, New York, United States",Active,,119,41,52,18,,,"Education, Financial Services, Lending and Investments, Software","EdTech, Enterprise Software, Venture Capital",,,,,,,,,,,,,,,,8.332,"4,608.33",459,,,,
Perceptive Advisors,"New York, New York, United States",Active,,210,75,41,110,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,4.922,"10,490.67",9,585388,USD,585388,
IKEA,"Delft, Zuid-Holland, The Netherlands",Active,For Profit,6,5,,1,,,"Commerce and Shopping, Consumer Goods, Real Estate","Furniture, Home Decor, Retail, Shopping",,,,,,,,,,,,,,,,"216,519,435","231,044,819.33",618,,,,
NGP Capital,"Palo Alto, California, United States",Active,,162,59,13,46,,,"Financial Services, Internet Services, Mobile, Software","Enterprise Software, Financial Services, Internet of Things, Mobile",,,,,,,,,,,,,,,4,1.197,,0,,,,
Ribbit Capital,"Palo Alto, California, United States",Active,,190,68,18,14,,,"Financial Services, Lending and Investments","Finance, Financial Services, FinTech, Venture Capital",,,,,,,,,,,,,,,,5.637,"11,032.83",85,84755,USD,84755,
LionTree,"New York, New York, United States",Active,,70,3,14,15,,,"Financial Services, Lending and Investments","Banking, Financial Services, Venture Capital",,,,,,,,,,,,,,,1,15.154,"11,077.83",518,1116638,USD,1116638,
Notion Capital,"London, England, United Kingdom",Active,,151,48,5,17,,,"Financial Services, Lending and Investments, Software","Finance, Financial Services, FinTech, Software, Venture Capital",,,,,,,,,,,,,,,9,7.686,"14,617.33",778,,,,
New Enterprise Associates,"Menlo Park, California, United States",Active,,2.026,695,281,548,,,"Financial Services, Health Care, Lending and Investments, Other","Consumer, Finance, Financial Services, Health Care, Venture Capital",,,,,,,,,,,,,,,3,22.982,"19,502.67",407,,,,
NFX,"San Francisco, California, United States",Active,,294,143,49,26,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,111.614,"107,323.67",525,,,,
Project A Ventures,"Berlin, Berlin, Germany",Active,,159,46,,27,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,6,23.845,"24,919.67",9,33600236,USD,33600236,
Oracle,"Redwood Shores, California, United States",Active,For Profit,44,12,5,21,1,1,"Information Technology, Software","Enterprise Software, Information Technology, SaaS, Software",1,IPO,1/1/1983,,,,Venture - Series Unknown,Venture - Series Unknown,,,,,,,270,"46,607,195","42,747,215.17",764,,,,Sequoia Capital
Heliad Equity Partners,"Frankfurt, Hessen, Germany",Active,For Profit,32,23,1,8,,1,"Biotechnology, Financial Services, Internet Services, Media and Entertainment, Science and Engineering","FinTech, Internet, Life Science, Media and Entertainment",1,IPO,5/11/2017,2000000,EUR,2172699,Post-IPO Equity,Post-IPO Equity,2000000,EUR,2172699,2000000,EUR,2172699,,,,,14303150,USD,14303150,BF Holding GmbH
Interplay,"New York, New York, United States",Active,,47,,10,4,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,1,3.762,"3,020.5",7,,,,
Honeywell,"Morristown, New Jersey, United States",Active,For Profit,13,7,,1,,1,"Consumer Electronics, Hardware, Information Technology, Manufacturing, Other, Professional Services, Science and Engineering","Aerospace, Electronics, Information Technology, Innovation Management, Manufacturing, Service Industry",1,IPO,10/27/2009,11400000,USD,11400000,Grant,,,,,11400000,USD,11400000,34,"3,120,850","3,355,533.17",669,1427,USD,1427,US Department of Energy
Kohlberg Kravis Roberts,"Hudson, New York, United States",Active,For Profit,272,176,9,90,,1,"Financial Services, Lending and Investments, Real Estate","Asset Management, Financial Services, Real Estate, Venture Capital",1,IPO,11/4/2016,,,,Post-IPO Equity,Post-IPO Equity,,,,,,,4,357.059,"403,695.33",1.42,267760915,USD,267760915,Covey Capital Advisors
Revolution,"Makati, Manila, Philippines",Active,For Profit,,,,,2,2,"Design, Real Estate","Architecture, Building Material, Interior Design, Real Estate",2,Early Stage Venture,10/1/2017,,,,Series B,Series B,,,,15400000,USD,15400000,,823,,0,,,,"500 Startups, K2 Global"
InnoEnergy,"Eindhoven, Noord-Brabant, The Netherlands",Active,For Profit,135,35,,4,1,1,"Consumer Electronics, Energy, Financial Services, Lending and Investments, Real Estate, Sustainability","Clean Energy, Energy, Energy Efficiency, Energy Management, Energy Storage, Impact Investing, Power Grid, Smart Building, Smart Cities, Smart Home",1,,1/13/2022,,,,Undisclosed,Undisclosed,,,,,,,9,148.675,"76,185.67",905,,,,ING Group
Matrix Partners India,"Mumbai, Maharashtra, India",Active,,172,76,,12,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,4.31,"8,511.83",94,,,,
Hoxton Ventures,"London, England, United Kingdom",Active,,71,28,1,13,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,1,6.082,3.527,8,34394185,USD,34394185,
In-Q-Tel,"Arlington, Virginia, United States",Active,,249,66,20,92,,,"Financial Services, Lending and Investments, Other","Finance, Non Profit, Venture Capital",,,,,,,,,,,,,,,1,18.631,11.535,533,885464,USD,885464,
ICONIQ Growth,"San Francisco, California, United States",Active,,45,22,6,2,,,"Financial Services, Lending and Investments, Professional Services","Business Development, Finance, Financial Services, FinTech, Venture Capital",,,,,,,,,,,,,,,,16.011,"9,671.33",6,,,,
PlaceHolder,"Tokyo, Tokyo, Japan",Active,For Profit,,,,,3,7,"Community and Lifestyle, Education, Hardware, Media and Entertainment, Real Estate, Software","Architecture, Augmented Reality, Digital Entertainment, EdTech, Edutainment, Leisure, Virtual Reality",4,,11/12/2020,,,,Corporate Round,Corporate Round,,,,11665097,USD,11665097,,2.192,,0,,,,"Incubate Fund, Global Brain Corporation, KDDI, Mizuho Capital, OLM Ventures"
Highland Capital Partners,"Palo Alto, California, United States",Active,,488,153,60,145,,,"Financial Services, Lending and Investments","Finance, Financial Services, FinTech, Venture Capital",,,,,,,,,,,,,,,2,27.092,"18,747.17",698,,,,
Maveron,"San Francisco, California, United States",Active,,280,75,72,63,,,"Financial Services, Hardware, Lending and Investments, Other, Software","Consumer, FinTech, Venture Capital, Virtual Reality",,,,,,,,,,,,,,,1,5.23,"6,936.17",990,,,,
Harlem Capital Partners,"New York, New York, United States",Active,,45,24,33,2,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,1,7.478,"6,288.5",61,,,,
PeakSpan Capital,"Burlingame, California, United States",Active,,36,29,3,6,,,"Financial Services, Lending and Investments, Other, Software","B2B, Software, Venture Capital",,,,,,,,,,,,,,,,8.874,"3,354.17",591,,,,
Salesforce Ventures,"San Francisco, California, United States",Active,,640,124,90,124,,,"Financial Services, Internet Services, Lending and Investments, Software","Cloud Computing, Enterprise Software, Financial Services, Venture Capital",,,,,,,,,,,,,,,7,,,,,,,
Matrix Partners China,"Beijing, Beijing, China",Active,,633,206,7,42,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,1.665,"3,281.83",0,,,,
Kapor Capital,"Oakland, California, United States",Active,,241,27,119,50,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,3,9.871,"5,969.17",21,,,,
Kindred Capital,"London, England, United Kingdom",Active,,63,22,1,4,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,1,5.07,"2,657.67",118,13183591,USD,13183591,
Kreos Capital,"London, England, United Kingdom",Active,For Profit,118,45,1,45,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,1.757,"1,458.17",33,5054396,USD,5054396,
Maverick Ventures,"San Francisco, California, United States",Active,,175,51,33,34,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",,,,,,,,,,,,,,,,6.479,"2,677.83",173,,,,
Greyhound Capital,"London, England, United Kingdom",Active,,57,3,2,5,,,"Financial Services, Lending and Investments","Finance, Financial Exchanges, Financial Services, FinTech, Venture Capital",,,,,,,,,,,,,,,,,,,,,,
